Status;Identificador;CNPJ;Período EFD Contribuições;Período EFD ICMS;Chave NF-e;Tipo Operação EFD Contribuições;Tipo Operação EFD ICMS;Indicador Emitente EFD Contribuições;Indicador Emitente EFD ICMS;Código Participante EFD Contribuições;Código Participante EFD ICMS;Modelo EFD Contribuições;Modelo EFD ICMS;Situação EFD Contribuições;Situação EFD ICMS;Série EFD Contribuições;Série EFD ICMS;Número Documento EFD Contribuições;Número Documento EFD ICMS;Data Documento EFD Contribuições;Data Documento EFD ICMS;Data Entrada/Saída EFD Contribuições;Data Entrada/Saída EFD ICMS;Valor Documento EFD Contribuições;Valor Documento EFD ICMS;Divergências;Linhas EFD Contribuições;Linhas EFD ICMS;Quantidade EFD Contribuições;Quantidade EFD ICMS
CONFERENTE;CHV_NFE:35260899000000010001553230000200231700200236;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000010001553230000200231700200236;1;1;1;1;PART001;PART001;55;55;00;00;1;1;20023;20023;08082026;08082026;08082026;08082026;4524,00;4524,00;;424;81;1;1
CONFERENTE;CHV_NFE:35260899000000010001553530000200531700200533;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000010001553530000200531700200533;1;1;1;1;PART001;PART001;55;55;00;00;1;1;20053;20053;05082026;05082026;05082026;05082026;384,00;384,00;;514;141;1;1
CONFERENTE;CHV_NFE:35260899000000010001553830000200831700200830;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000010001553830000200831700200830;1;1;1;1;PART001;PART001;55;55;00;00;1;1;20083;20083;02082026;02082026;02082026;02082026;5844,00;5844,00;;604;201;1;1
CONFERENTE;CHV_NFE:35260899000000010001554130000201131700201133;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000010001554130000201131700201133;1;1;1;1;PART001;PART001;55;55;00;00;1;1;20113;20113;30082026;30082026;30082026;30082026;1704,00;1704,00;;694;261;1;1
CONFERENTE;CHV_NFE:35260899000000020001553240000200241700200243;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000020001553240000200241700200243;1;1;0;0;PART002;PART002;55;55;00;00;1;1;20024;20024;11082026;11082026;11082026;11082026;7294,50;7294,50;;427;83;1;1
CONFERENTE;CHV_NFE:35260899000000020001553540000200541700200540;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000020001553540000200541700200540;1;1;0;0;PART002;PART002;55;55;00;00;1;1;20054;20054;08082026;08082026;08082026;08082026;1084,50;1084,50;;517;143;1;1
CONFERENTE;CHV_NFE:35260899000000020001553840000200841700200848;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000020001553840000200841700200848;1;1;0;0;PART002;PART002;55;55;00;00;1;1;20084;20084;05082026;05082026;05082026;05082026;9274,50;9274,50;;607;203;1;1
CONFERENTE;CHV_NFE:35260899000000020001554140000201141700201140;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000020001554140000201141700201140;1;1;0;0;PART002;PART002;55;55;00;00;1;1;20114;20114;02082026;02082026;02082026;02082026;3064,50;3064,50;;697;263;1;1
CONFERENTE;CHV_NFE:35260899000000030001553250000200251700200250;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000030001553250000200251700200250;0;0;1;1;PART003;PART003;55;55;00;00;1;1;20025;20025;14082026;14082026;14082026;14082026;2365,50;2365,50;;431;85;1;1
CONFERENTE;CHV_NFE:35260899000000030001553550000200551700200558;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000030001553550000200551700200558;0;0;1;1;PART003;PART003;55;55;00;00;1;1;20055;20055;11082026;11082026;11082026;11082026;295,50;295,50;;521;145;1;1
CONFERENTE;CHV_NFE:35260899000000030001553850000200851700200855;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000030001553850000200851700200855;0;0;1;1;PART003;PART003;55;55;00;00;1;1;20085;20085;08082026;08082026;08082026;08082026;3025,50;3025,50;;611;205;1;1
CONFERENTE;CHV_NFE:35260899000000030001554150000201151700201158;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000030001554150000201151700201158;0;0;1;1;PART003;PART003;55;55;00;00;1;1;20115;20115;05082026;05082026;05082026;05082026;955,50;955,50;;701;265;1;1
CONFERENTE;CHV_NFE:35260899000000040001553260000200261700200268;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000040001553260000200261700200268;1;1;0;0;PART004;PART004;55;55;00;00;1;1;20026;20026;17082026;17082026;17082026;17082026;5070,00;5070,00;;433;87;1;1
CONFERENTE;CHV_NFE:35260899000000040001553560000200561700200565;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000040001553560000200561700200565;1;1;0;0;PART004;PART004;55;55;00;00;1;1;20056;20056;14082026;14082026;14082026;14082026;930,00;930,00;;523;147;1;1
CONFERENTE;CHV_NFE:35260899000000040001553860000200861700200862;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000040001553860000200861700200862;1;1;0;0;PART004;PART004;55;55;00;00;1;1;20086;20086;11082026;11082026;11082026;11082026;6390,00;6390,00;;613;207;1;1
CONFERENTE;CHV_NFE:35260899000000040001554160000201161700201165;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000040001554160000201161700201165;1;1;0;0;PART004;PART004;55;55;00;00;1;1;20116;20116;08082026;08082026;08082026;08082026;2250,00;2250,00;;703;267;1;1
CONFERENTE;CHV_NFE:35260899000000050001553270000200271700200275;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000050001553270000200271700200275;1;1;1;1;PART005;PART005;55;55;00;00;1;1;20027;20027;20082026;20082026;20082026;20082026;8113,50;8113,50;;436;89;1;1
CONFERENTE;CHV_NFE:35260899000000050001553570000200571700200572;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000050001553570000200571700200572;1;1;1;1;PART005;PART005;55;55;00;00;1;1;20057;20057;17082026;17082026;17082026;17082026;1903,50;1903,50;;526;149;1;1
CONFERENTE;CHV_NFE:35260899000000050001553870000200871700200870;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000050001553870000200871700200870;1;1;1;1;PART005;PART005;55;55;00;00;1;1;20087;20087;14082026;14082026;14082026;14082026;10093,50;10093,50;;616;209;1;1
CONFERENTE;CHV_NFE:35260899000000050001554170000201171700201172;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000050001554170000201171700201172;1;1;1;1;PART005;PART005;55;55;00;00;1;1;20117;20117;11082026;11082026;11082026;11082026;3883,50;3883,50;;706;269;1;1
CONFERENTE;CHV_NFE:35260899000000060001553280000200281700200282;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000060001553280000200281700200282;1;1;0;0;PART006;PART006;55;55;00;00;1;1;20028;20028;23082026;23082026;23082026;23082026;2638,50;2638,50;;440;91;1;1
CONFERENTE;CHV_NFE:35260899000000060001553580000200581700200580;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000060001553580000200581700200580;1;1;0;0;PART006;PART006;55;55;00;00;1;1;20058;20058;20082026;20082026;20082026;20082026;568,50;568,50;;530;151;1;1
CONFERENTE;CHV_NFE:35260899000000060001553880000200881700200887;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000060001553880000200881700200887;1;1;0;0;PART006;PART006;55;55;00;00;1;1;20088;20088;17082026;17082026;17082026;17082026;3298,50;3298,50;;620;211;1;1
CONFERENTE;CHV_NFE:35260899000000060001554180000201181700201180;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000060001554180000201181700201180;1;1;0;0;PART006;PART006;55;55;00;00;1;1;20118;20118;14082026;14082026;14082026;14082026;1228,50;1228,50;;710;271;1;1
CONFERENTE;CHV_NFE:35260899000000070001553290000200291700200290;99999999000199;01082026 a 31082026;01082026 a 31082026;35260899000000070001553290000200291700200290;1;1;1;1;PART007;PART007;55;55;00;00;1;1;20029;20029;26082026;26082026;26082026;26082026;5616,00;5616,00;;442;93;1;1
