|0000|006|0|01082026|31082026|EMPRESA TESTE EFD CONTRIBUICOES LTDA|99999999000199|SP|999999999999|3550308||00|0|
|0001|0|
|0110|1|1|1||
|0140|EST001|ESTABELECIMENTO SINTETICO DE TESTE|99999999000199|SP|999999999999|3550308|||
|0150|PART001|FORNECEDOR SINTETICO 001|01058|99000000010001||||RJ MUNICIPIO TESTE|||||
|0150|PART002|FORNECEDOR SINTETICO 002|01058|99000000020001||||MG MUNICIPIO TESTE|||||
|0150|PART003|FORNECEDOR SINTETICO 003|01058|99000000030001||||PR MUNICIPIO TESTE|||||
|0150|PART004|FORNECEDOR SINTETICO 004|01058|99000000040001||||SC MUNICIPIO TESTE|||||
|0150|PART005|FORNECEDOR SINTETICO 005|01058|99000000050001||||RS MUNICIPIO TESTE|||||
|0150|PART006|FORNECEDOR SINTETICO 006|01058|99000000060001||||SP MUNICIPIO TESTE|||||
|0150|PART007|FORNECEDOR SINTETICO 007|01058|99000000070001||||RJ MUNICIPIO TESTE|||||
|0150|PART008|FORNECEDOR SINTETICO 008|01058|99000000080001||||MG MUNICIPIO TESTE|||||
|0150|PART009|FORNECEDOR SINTETICO 009|01058|99000000090001||||PR MUNICIPIO TESTE|||||
|0150|PART010|FORNECEDOR SINTETICO 010|01058|99000000100001||||SC MUNICIPIO TESTE|||||
|0150|PART011|FORNECEDOR SINTETICO 011|01058|99000000110001||||RS MUNICIPIO TESTE|||||
|0150|PART012|FORNECEDOR SINTETICO 012|01058|99000000120001||||SP MUNICIPIO TESTE|||||
|0150|PART013|FORNECEDOR SINTETICO 013|01058|99000000130001||||RJ MUNICIPIO TESTE|||||
|0150|PART014|FORNECEDOR SINTETICO 014|01058|99000000140001||||MG MUNICIPIO TESTE|||||
|0150|PART015|FORNECEDOR SINTETICO 015|01058|99000000150001||||PR MUNICIPIO TESTE|||||
|0150|PART016|CLIENTE SINTETICO 016|01058|99000000160001||||SC MUNICIPIO TESTE|||||
|0150|PART017|CLIENTE SINTETICO 017|01058|99000000170001||||RS MUNICIPIO TESTE|||||
|0150|PART018|CLIENTE SINTETICO 018|01058|99000000180001||||SP MUNICIPIO TESTE|||||
|0150|PART019|CLIENTE SINTETICO 019|01058|99000000190001||||RJ MUNICIPIO TESTE|||||
|0150|PART020|CLIENTE SINTETICO 020|01058|99000000200001||||MG MUNICIPIO TESTE|||||
|0150|PART021|CLIENTE SINTETICO 021|01058|99000000210001||||PR MUNICIPIO TESTE|||||
|0150|PART022|CLIENTE SINTETICO 022|01058|99000000220001||||SC MUNICIPIO TESTE|||||
|0150|PART023|CLIENTE SINTETICO 023|01058|99000000230001||||RS MUNICIPIO TESTE|||||
|0150|PART024|CLIENTE SINTETICO 024|01058|99000000240001||||SP MUNICIPIO TESTE|||||
|0150|PART025|CLIENTE SINTETICO 025|01058|99000000250001||||RJ MUNICIPIO TESTE|||||
|0150|PART026|CLIENTE SINTETICO 026|01058|99000000260001||||MG MUNICIPIO TESTE|||||
|0150|PART027|CLIENTE SINTETICO 027|01058|99000000270001||||PR MUNICIPIO TESTE|||||
|0150|PART028|CLIENTE SINTETICO 028|01058|99000000280001||||SC MUNICIPIO TESTE|||||
|0150|PART029|CLIENTE SINTETICO 029|01058|99000000290001||||RS MUNICIPIO TESTE|||||
|0150|PART030|CLIENTE SINTETICO 030|01058|99000000300001||||SP MUNICIPIO TESTE|||||
|0200|ITEM001|ITEM OU SERVICO SINTETICO 001|||UN|09|||||||
|0200|ITEM002|ITEM OU SERVICO SINTETICO 002|||UN|09|||||||
|0200|ITEM003|ITEM OU SERVICO SINTETICO 003|||KG|09|||||||
|0200|ITEM004|ITEM OU SERVICO SINTETICO 004|||UN|09|||||||
|0200|ITEM005|ITEM OU SERVICO SINTETICO 005|||UN|09|||||||
|0200|ITEM006|ITEM OU SERVICO SINTETICO 006|||KG|09|||||||
|0200|ITEM007|ITEM OU SERVICO SINTETICO 007|||UN|09|||||||
|0200|ITEM008|ITEM OU SERVICO SINTETICO 008|||UN|09|||||||
|0200|ITEM009|ITEM OU SERVICO SINTETICO 009|||KG|00|84000009||||||
|0200|ITEM010|ITEM OU SERVICO SINTETICO 010|||UN|00|84000010||||||
|0200|ITEM011|ITEM OU SERVICO SINTETICO 011|||UN|00|84000011||||||
|0200|ITEM012|ITEM OU SERVICO SINTETICO 012|||KG|00|84000012||||||
|0200|ITEM013|ITEM OU SERVICO SINTETICO 013|||UN|00|84000013||||||
|0200|ITEM014|ITEM OU SERVICO SINTETICO 014|||UN|00|84000014||||||
|0200|ITEM015|ITEM OU SERVICO SINTETICO 015|||KG|00|84000015||||||
|0200|ITEM016|ITEM OU SERVICO SINTETICO 016|||UN|00|84000016||||||
|0200|ITEM017|ITEM OU SERVICO SINTETICO 017|||UN|00|84000017||||||
|0200|ITEM018|ITEM OU SERVICO SINTETICO 018|||KG|00|84000018||||||
|0200|ITEM019|ITEM OU SERVICO SINTETICO 019|||UN|00|84000019||||||
|0200|ITEM020|ITEM OU SERVICO SINTETICO 020|||UN|00|84000020||||||
|0990|55|
|A001|0|
|A100|0|1|PART001|00|1|AS00010001|10001|01082026|01082026|217,00|0,00|217,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM001|SERVICO SINTETICO A 0001|217,00|0,00|1202|04|0,00|0,0000|0,00|04|0,00|0,0000|0,00|0|01|CTA_SERV|5933|
|A100|0|0|PART002|00|1|AS00010002|10002|02082026|02082026|621,00|0,00|621,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM002|SERVICO SINTETICO A 0002|254,00|0,00|1203|06|0,00|0,0000|0,00|06|0,00|0,0000|0,00|0|01|CTA_SERV|6102|
|A170|2|ITEM003|SERVICO SINTETICO A 0003|367,00|0,00|1401|07|0,00|0,0000|0,00|07|0,00|0,0000|0,00|0|01|CTA_SERV|6933|
|A100|0|1|PART003|00|1|AS00010003|10003|03082026|03082026|1212,00|0,00|1212,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM004|SERVICO SINTETICO A 0004|291,00|0,00|1701|07|0,00|0,0000|0,00|07|0,00|0,0000|0,00|0|01|CTA_SERV|1102|
|A170|2|ITEM005|SERVICO SINTETICO A 0005|404,00|0,00|1702|08|0,00|0,0000|0,00|08|0,00|0,0000|0,00|0|01|CTA_SERV|2102|
|A170|3|ITEM006|SERVICO SINTETICO A 0006|517,00|0,00|1801|49|517,00|1,6500|8,53|49|517,00|7,6000|39,29|0|01|CTA_SERV|5102|
|A100|1|0|PART004|00|1|AS00010004|10004|04082026|04082026|328,00|0,00|328,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM007|SERVICO SINTETICO A 0007|328,00|0,00|1201|08|0,00|0,0000|0,00|08|0,00|0,0000|0,00|0|01|CTA_SERV|5933|
|A100|0|1|PART005|00|1|AS00010005|10005|05082026|05082026|843,00|0,00|843,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM008|SERVICO SINTETICO A 0008|365,00|0,00|1202|49|365,00|1,6500|6,02|49|365,00|7,6000|27,74|0|01|CTA_SERV|6102|
|A170|2|ITEM001|SERVICO SINTETICO A 0009|478,00|0,00|1203|50|478,00|1,6500|7,89|50|478,00|7,6000|36,33|0|01|CTA_SERV|6933|
|A100|0|0|PART006|00|1|AS00010006|10006|06082026|06082026|1545,00|0,00|1545,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM002|SERVICO SINTETICO A 0010|402,00|0,00|1401|50|402,00|1,6500|6,63|50|402,00|7,6000|30,55|0|01|CTA_SERV|1102|
|A170|2|ITEM003|SERVICO SINTETICO A 0011|515,00|0,00|1701|51|515,00|1,6500|8,50|51|515,00|7,6000|39,14|0|01|CTA_SERV|2102|
|A170|3|ITEM004|SERVICO SINTETICO A 0012|628,00|0,00|1702|70|628,00|1,6500|10,36|70|628,00|7,6000|47,73|0|01|CTA_SERV|5102|
|A100|0|1|PART007|00|1|AS00010007|10007|07082026|07082026|439,00|0,00|439,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM005|SERVICO SINTETICO A 0013|439,00|0,00|1801|51|439,00|1,6500|7,24|51|439,00|7,6000|33,36|0|01|CTA_SERV|5933|
|A100|1|0|PART008|00|1|AS00010008|10008|08082026|08082026|1065,00|0,00|1065,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM006|SERVICO SINTETICO A 0014|476,00|0,00|1201|70|476,00|1,6500|7,85|70|476,00|7,6000|36,18|0|01|CTA_SERV|6102|
|A170|2|ITEM007|SERVICO SINTETICO A 0015|589,00|0,00|1202|73|589,00|1,6500|9,72|73|589,00|7,6000|44,76|0|01|CTA_SERV|6933|
|A100|0|1|PART009|00|1|AS00010009|10009|09082026|09082026|1878,00|0,00|1878,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM008|SERVICO SINTETICO A 0016|513,00|0,00|1203|73|513,00|1,6500|8,46|73|513,00|7,6000|38,99|0|01|CTA_SERV|1102|
|A170|2|ITEM001|SERVICO SINTETICO A 0017|626,00|0,00|1401|01|626,00|1,6500|10,33|01|626,00|7,6000|47,58|0|01|CTA_SERV|2102|
|A170|3|ITEM002|SERVICO SINTETICO A 0018|739,00|0,00|1701|02|739,00|1,6500|12,19|02|739,00|7,6000|56,16|0|01|CTA_SERV|5102|
|A100|0|0|PART010|00|1|AS00010010|10010|10082026|10082026|550,00|0,00|550,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM003|SERVICO SINTETICO A 0019|550,00|0,00|1702|01|550,00|1,6500|9,08|01|550,00|7,6000|41,80|0|01|CTA_SERV|5933|
|A100|0|1|PART011|00|1|AS00010011|10011|11082026|11082026|1287,00|0,00|1287,00|0,00|0,00|0,00|0,00|0,00||
|A170|1|ITEM004|SERVICO SINTETICO A 0020|587,00|0,00|1801|02|587,00|1,6500|9,69|02|587,00|7,6000|44,61|0|01|CTA_SERV|6102|
|A170|2|ITEM005|SERVICO SINTETICO A 0021|700,00|0,00|1201|04|0,00|0,0000|0,00|04|0,00|0,0000|0,00|0|01|CTA_SERV|6933|
