CNPJ;Período;Registros;Tipo Operação;Situação;Código Participante;CNPJ Participante;CPF Participante;Nome Participante;UF Origem/Destino;Número Documento;Série;Chave NF-e;Data Documento;Data Entrada/Saída;Vlr Documento;Vlr Desconto NF;Vlr Mercadoria/Operação;Vlr Frete;Vlr Seguro;Vlr Outras DA;Número Item;Código Item;Descrição Complementar;Descrição Item;NCM;Código Serviço;Código Barra;Tipo Item;Vlr Item;Qtde;Unidade Medida;Vlr Desconto Item;Natureza Crédito;CFOP;Descrição CFOP;CFOP Faturamento;CST ICMS;Vlr Base Cálculo ICMS;Alíquota ICMS;Vlr ICMS;Vlr Base Cálculo ICMS ST;Alíquota ICMS ST;Vlr ICMS ST;CST IPI;Vlr Base Cálculo IPI;Alíquota IPI;Vlr IPI;CST PIS;Vlr Base Cálculo PIS;Qtde Base Cálculo PIS;Alíquota PIS;Qtde Alíquota PIS;Vlr PIS;CST Cofins;Vlr Base Cálculo Cofins;Qtde Base Cálculo Cofins;Alíquota Cofins;Qtde Alíquota Cofins;Vlr Cofins;Conta Contábil;Débito/Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART001;99000000010001;;FORNECEDOR SINTETICO 001;RJ;AS00010001;1;10001;01/08/2026;01/08/2026;217,00;0,00;217,00;;;;1;ITEM001;SERVICO SINTETICO A 0001;ITEM OU SERVICO SINTETICO 001;;1202;;09;217,00;;;0,00;01;;;5933;;;;;;;;;;;;04;0,00;;0,0000;;0,00;04;0,00;;0,0000;;0,00;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART002;99000000020001;;FORNECEDOR SINTETICO 002;MG;AS00010002;1;10002;02/08/2026;02/08/2026;621,00;0,00;621,00;;;;1;ITEM002;SERVICO SINTETICO A 0002;ITEM OU SERVICO SINTETICO 002;;1203;;09;254,00;;;0,00;01;;;6102;;;;;;;;;;;;06;0,00;;0,0000;;0,00;06;0,00;;0,0000;;0,00;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART002;99000000020001;;FORNECEDOR SINTETICO 002;MG;AS00010002;1;10002;02/08/2026;02/08/2026;621,00;0,00;621,00;;;;2;ITEM003;SERVICO SINTETICO A 0003;ITEM OU SERVICO SINTETICO 003;;1401;;09;367,00;;;0,00;01;;;6933;;;;;;;;;;;;07;0,00;;0,0000;;0,00;07;0,00;;0,0000;;0,00;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART003;99000000030001;;FORNECEDOR SINTETICO 003;PR;AS00010003;1;10003;03/08/2026;03/08/2026;1212,00;0,00;1212,00;;;;1;ITEM004;SERVICO SINTETICO A 0004;ITEM OU SERVICO SINTETICO 004;;1701;;09;291,00;;;0,00;01;;;1102;;;;;;;;;;;;07;0,00;;0,0000;;0,00;07;0,00;;0,0000;;0,00;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART003;99000000030001;;FORNECEDOR SINTETICO 003;PR;AS00010003;1;10003;03/08/2026;03/08/2026;1212,00;0,00;1212,00;;;;2;ITEM005;SERVICO SINTETICO A 0005;ITEM OU SERVICO SINTETICO 005;;1702;;09;404,00;;;0,00;01;;;2102;;;;;;;;;;;;08;0,00;;0,0000;;0,00;08;0,00;;0,0000;;0,00;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART003;99000000030001;;FORNECEDOR SINTETICO 003;PR;AS00010003;1;10003;03/08/2026;03/08/2026;1212,00;0,00;1212,00;;;;3;ITEM006;SERVICO SINTETICO A 0006;ITEM OU SERVICO SINTETICO 006;;1801;;09;517,00;;;0,00;01;;;5102;;;;;;;;;;;;49;517,00;;1,6500;;8,53;49;517,00;;7,6000;;39,29;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;1;00;PART004;99000000040001;;FORNECEDOR SINTETICO 004;SC;AS00010004;1;10004;04/08/2026;04/08/2026;328,00;0,00;328,00;;;;1;ITEM007;SERVICO SINTETICO A 0007;ITEM OU SERVICO SINTETICO 007;;1201;;09;328,00;;;0,00;01;;;5933;;;;;;;;;;;;08;0,00;;0,0000;;0,00;08;0,00;;0,0000;;0,00;CTA_SERV;Débito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART005;99000000050001;;FORNECEDOR SINTETICO 005;RS;AS00010005;1;10005;05/08/2026;05/08/2026;843,00;0,00;843,00;;;;1;ITEM008;SERVICO SINTETICO A 0008;ITEM OU SERVICO SINTETICO 008;;1202;;09;365,00;;;0,00;01;;;6102;;;;;;;;;;;;49;365,00;;1,6500;;6,02;49;365,00;;7,6000;;27,74;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART005;99000000050001;;FORNECEDOR SINTETICO 005;RS;AS00010005;1;10005;05/08/2026;05/08/2026;843,00;0,00;843,00;;;;2;ITEM001;SERVICO SINTETICO A 0009;ITEM OU SERVICO SINTETICO 001;;1203;;09;478,00;;;0,00;01;;;6933;;;;;;;;;;;;50;478,00;;1,6500;;7,89;50;478,00;;7,6000;;36,33;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART006;99000000060001;;FORNECEDOR SINTETICO 006;SP;AS00010006;1;10006;06/08/2026;06/08/2026;1545,00;0,00;1545,00;;;;1;ITEM002;SERVICO SINTETICO A 0010;ITEM OU SERVICO SINTETICO 002;;1401;;09;402,00;;;0,00;01;;;1102;;;;;;;;;;;;50;402,00;;1,6500;;6,63;50;402,00;;7,6000;;30,55;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART006;99000000060001;;FORNECEDOR SINTETICO 006;SP;AS00010006;1;10006;06/08/2026;06/08/2026;1545,00;0,00;1545,00;;;;2;ITEM003;SERVICO SINTETICO A 0011;ITEM OU SERVICO SINTETICO 003;;1701;;09;515,00;;;0,00;01;;;2102;;;;;;;;;;;;51;515,00;;1,6500;;8,50;51;515,00;;7,6000;;39,14;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART006;99000000060001;;FORNECEDOR SINTETICO 006;SP;AS00010006;1;10006;06/08/2026;06/08/2026;1545,00;0,00;1545,00;;;;3;ITEM004;SERVICO SINTETICO A 0012;ITEM OU SERVICO SINTETICO 004;;1702;;09;628,00;;;0,00;01;;;5102;;;;;;;;;;;;70;628,00;;1,6500;;10,36;70;628,00;;7,6000;;47,73;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART007;99000000070001;;FORNECEDOR SINTETICO 007;RJ;AS00010007;1;10007;07/08/2026;07/08/2026;439,00;0,00;439,00;;;;1;ITEM005;SERVICO SINTETICO A 0013;ITEM OU SERVICO SINTETICO 005;;1801;;09;439,00;;;0,00;01;;;5933;;;;;;;;;;;;51;439,00;;1,6500;;7,24;51;439,00;;7,6000;;33,36;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;1;00;PART008;99000000080001;;FORNECEDOR SINTETICO 008;MG;AS00010008;1;10008;08/08/2026;08/08/2026;1065,00;0,00;1065,00;;;;1;ITEM006;SERVICO SINTETICO A 0014;ITEM OU SERVICO SINTETICO 006;;1201;;09;476,00;;;0,00;01;;;6102;;;;;;;;;;;;70;476,00;;1,6500;;7,85;70;476,00;;7,6000;;36,18;CTA_SERV;Débito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;1;00;PART008;99000000080001;;FORNECEDOR SINTETICO 008;MG;AS00010008;1;10008;08/08/2026;08/08/2026;1065,00;0,00;1065,00;;;;2;ITEM007;SERVICO SINTETICO A 0015;ITEM OU SERVICO SINTETICO 007;;1202;;09;589,00;;;0,00;01;;;6933;;;;;;;;;;;;73;589,00;;1,6500;;9,72;73;589,00;;7,6000;;44,76;CTA_SERV;Débito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART009;99000000090001;;FORNECEDOR SINTETICO 009;PR;AS00010009;1;10009;09/08/2026;09/08/2026;1878,00;0,00;1878,00;;;;1;ITEM008;SERVICO SINTETICO A 0016;ITEM OU SERVICO SINTETICO 008;;1203;;09;513,00;;;0,00;01;;;1102;;;;;;;;;;;;73;513,00;;1,6500;;8,46;73;513,00;;7,6000;;38,99;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART009;99000000090001;;FORNECEDOR SINTETICO 009;PR;AS00010009;1;10009;09/08/2026;09/08/2026;1878,00;0,00;1878,00;;;;2;ITEM001;SERVICO SINTETICO A 0017;ITEM OU SERVICO SINTETICO 001;;1401;;09;626,00;;;0,00;01;;;2102;;;;;;;;;;;;01;626,00;;1,6500;;10,33;01;626,00;;7,6000;;47,58;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART009;99000000090001;;FORNECEDOR SINTETICO 009;PR;AS00010009;1;10009;09/08/2026;09/08/2026;1878,00;0,00;1878,00;;;;3;ITEM002;SERVICO SINTETICO A 0018;ITEM OU SERVICO SINTETICO 002;;1701;;09;739,00;;;0,00;01;;;5102;;;;;;;;;;;;02;739,00;;1,6500;;12,19;02;739,00;;7,6000;;56,16;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART010;99000000100001;;FORNECEDOR SINTETICO 010;SC;AS00010010;1;10010;10/08/2026;10/08/2026;550,00;0,00;550,00;;;;1;ITEM003;SERVICO SINTETICO A 0019;ITEM OU SERVICO SINTETICO 003;;1702;;09;550,00;;;0,00;01;;;5933;;;;;;;;;;;;01;550,00;;1,6500;;9,08;01;550,00;;7,6000;;41,80;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART011;99000000110001;;FORNECEDOR SINTETICO 011;RS;AS00010011;1;10011;11/08/2026;11/08/2026;1287,00;0,00;1287,00;;;;1;ITEM004;SERVICO SINTETICO A 0020;ITEM OU SERVICO SINTETICO 004;;1801;;09;587,00;;;0,00;01;;;6102;;;;;;;;;;;;02;587,00;;1,6500;;9,69;02;587,00;;7,6000;;44,61;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART011;99000000110001;;FORNECEDOR SINTETICO 011;RS;AS00010011;1;10011;11/08/2026;11/08/2026;1287,00;0,00;1287,00;;;;2;ITEM005;SERVICO SINTETICO A 0021;ITEM OU SERVICO SINTETICO 005;;1201;;09;700,00;;;0,00;01;;;6933;;;;;;;;;;;;04;0,00;;0,0000;;0,00;04;0,00;;0,0000;;0,00;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;1;00;PART012;99000000120001;;FORNECEDOR SINTETICO 012;SP;AS00010012;1;10012;12/08/2026;12/08/2026;2211,00;0,00;2211,00;;;;1;ITEM006;SERVICO SINTETICO A 0022;ITEM OU SERVICO SINTETICO 006;;1202;;09;624,00;;;0,00;01;;;1102;;;;;;;;;;;;04;0,00;;0,0000;;0,00;04;0,00;;0,0000;;0,00;CTA_SERV;Débito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;1;00;PART012;99000000120001;;FORNECEDOR SINTETICO 012;SP;AS00010012;1;10012;12/08/2026;12/08/2026;2211,00;0,00;2211,00;;;;2;ITEM007;SERVICO SINTETICO A 0023;ITEM OU SERVICO SINTETICO 007;;1203;;09;737,00;;;0,00;01;;;2102;;;;;;;;;;;;06;0,00;;0,0000;;0,00;06;0,00;;0,0000;;0,00;CTA_SERV;Débito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;1;00;PART012;99000000120001;;FORNECEDOR SINTETICO 012;SP;AS00010012;1;10012;12/08/2026;12/08/2026;2211,00;0,00;2211,00;;;;3;ITEM008;SERVICO SINTETICO A 0024;ITEM OU SERVICO SINTETICO 008;;1401;;09;850,00;;;0,00;01;;;5102;;;;;;;;;;;;07;0,00;;0,0000;;0,00;07;0,00;;0,0000;;0,00;CTA_SERV;Débito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART013;99000000130001;;FORNECEDOR SINTETICO 013;RJ;AS00010013;1;10013;13/08/2026;13/08/2026;661,00;0,00;661,00;;;;1;ITEM001;SERVICO SINTETICO A 0025;ITEM OU SERVICO SINTETICO 001;;1701;;09;661,00;;;0,00;01;;;5933;;;;;;;;;;;;06;0,00;;0,0000;;0,00;06;0,00;;0,0000;;0,00;CTA_SERV;Crédito
99999999000199;01/08/2026 a 31/08/2026;A100/A170;0;00;PART014;99000000140001;;FORNECEDOR SINTETICO 014;MG;AS00010014;1;10014;14/08/2026;14/08/2026;1509,00;0,00;1509,00;;;;1;ITEM002;SERVICO SINTETICO A 0026;ITEM OU SERVICO SINTETICO 002;;1702;;09;698,00;;;0,00;01;;;6102;;;;;;;;;;;;07;0,00;;0,0000;;0,00;07;0,00;;0,0000;;0,00;CTA_SERV;Crédito
